step 0 | loss 3.2958 | step time 193.78ms
step 10 | loss 3.2923 | step time 0.54ms
step 20 | loss 3.2879 | step time 0.36ms
step 30 | loss 3.2843 | step time 0.33ms
step 40 | loss 3.2791 | step time 0.77ms
step 50 | loss 3.2765 | step time 0.62ms
step 60 | loss 3.2742 | step time 0.37ms
step 70 | loss 3.2689 | step time 0.44ms
step 80 | loss 3.2648 | step time 0.68ms
step 90 | loss 3.2583 | step time 0.48ms
step 100 | loss 3.2586 | step time 0.38ms
step 110 | loss 3.2540 | step time 0.39ms
step 120 | loss 3.2504 | step time 0.48ms
step 130 | loss 3.2471 | step time 0.39ms
step 140 | loss 3.2445 | step time 0.34ms
step 150 | loss 3.2399 | step time 0.37ms
step 160 | loss 3.2327 | step time 0.60ms
step 170 | loss 3.2311 | step time 0.35ms
step 180 | loss 3.2286 | step time 0.35ms
step 190 | loss 3.2282 | step time 0.49ms
step 200 | loss 3.2176 | step time 0.60ms
step 210 | loss 3.2120 | step time 0.33ms
step 220 | loss 3.2160 | step time 0.38ms
step 230 | loss 3.2135 | step time 0.46ms
step 240 | loss 3.2101 | step time 0.33ms
step 250 | loss 3.2012 | step time 0.34ms
step 260 | loss 3.2001 | step time 0.41ms
step 270 | loss 3.2018 | step time 0.36ms
step 280 | loss 3.1957 | step time 0.38ms
step 290 | loss 3.1848 | step time 0.32ms
step 300 | loss 3.1874 | step time 0.33ms
step 310 | loss 3.1872 | step time 0.39ms
step 320 | loss 3.1771 | step time 0.38ms
step 330 | loss 3.1728 | step time 0.35ms
step 340 | loss 3.1735 | step time 0.35ms
step 350 | loss 3.1686 | step time 0.41ms
step 360 | loss 3.1667 | step time 0.36ms
step 370 | loss 3.1640 | step time 0.32ms
step 380 | loss 3.1568 | step time 0.38ms
step 390 | loss 3.1576 | step time 0.33ms
step 400 | loss 3.1478 | step time 0.44ms
step 410 | loss 3.1422 | step time 0.34ms
step 420 | loss 3.1566 | step time 0.33ms
step 430 | loss 3.1474 | step time 0.34ms
step 440 | loss 3.1306 | step time 0.38ms
step 450 | loss 3.1376 | step time 0.42ms
step 460 | loss 3.1375 | step time 0.35ms
step 470 | loss 3.1309 | step time 0.37ms
step 480 | loss 3.1293 | step time 0.35ms
step 490 | loss 3.1172 | step time 0.36ms
step 500 | loss 3.1284 | step time 0.43ms
step 500 train loss: 3.1172914505004883 test loss: 3.115144729614258
test loss 3.115144729614258 is the best so far, saving model to Bigram/model.pt
step 510 | loss 3.1293 | step time 0.32ms
step 520 | loss 3.1106 | step time 0.36ms
step 530 | loss 3.1037 | step time 0.34ms
step 540 | loss 3.0972 | step time 0.33ms
step 550 | loss 3.0891 | step time 0.34ms
step 560 | loss 3.0951 | step time 0.33ms
step 570 | loss 3.1047 | step time 0.37ms
step 580 | loss 3.0840 | step time 0.36ms
step 590 | loss 3.0852 | step time 0.35ms
step 600 | loss 3.0828 | step time 0.34ms
step 610 | loss 3.0970 | step time 0.36ms
step 620 | loss 3.0826 | step time 0.37ms
step 630 | loss 3.0661 | step time 0.33ms
step 640 | loss 3.0768 | step time 0.49ms
step 650 | loss 3.0684 | step time 0.40ms
step 660 | loss 3.0620 | step time 0.34ms
step 670 | loss 3.0590 | step time 0.39ms
step 680 | loss 3.0685 | step time 0.45ms
step 690 | loss 3.0441 | step time 0.41ms
step 700 | loss 3.0479 | step time 0.33ms
step 710 | loss 3.0365 | step time 0.37ms
step 720 | loss 3.0493 | step time 0.32ms
step 730 | loss 3.0466 | step time 0.34ms
step 740 | loss 3.0171 | step time 0.32ms
step 750 | loss 3.0424 | step time 0.43ms
step 760 | loss 3.0560 | step time 0.34ms
step 770 | loss 3.0535 | step time 0.44ms
step 780 | loss 3.0237 | step time 0.34ms
step 790 | loss 3.0256 | step time 0.34ms
step 800 | loss 3.0212 | step time 0.34ms
step 810 | loss 3.0258 | step time 0.36ms
step 820 | loss 3.0350 | step time 0.42ms
step 830 | loss 3.0331 | step time 0.33ms
step 840 | loss 3.0036 | step time 0.32ms
step 850 | loss 3.0128 | step time 0.34ms
step 860 | loss 3.0020 | step time 0.39ms
step 870 | loss 3.0066 | step time 0.41ms
step 880 | loss 3.0289 | step time 0.36ms
step 890 | loss 3.0158 | step time 0.33ms
step 900 | loss 2.9867 | step time 0.40ms
step 910 | loss 2.9860 | step time 0.32ms
step 920 | loss 2.9709 | step time 0.34ms
step 930 | loss 2.9791 | step time 0.42ms
step 940 | loss 3.0086 | step time 0.35ms
step 950 | loss 2.9996 | step time 0.41ms
step 960 | loss 2.9658 | step time 0.38ms
step 970 | loss 2.9913 | step time 0.39ms
step 980 | loss 2.9702 | step time 0.34ms
step 990 | loss 2.9968 | step time 0.42ms
step 1000 | loss 2.9436 | step time 0.40ms
step 1000 train loss: 2.9687070846557617 test loss: 2.9647583961486816
test loss 2.9647583961486816 is the best so far, saving model to Bigram/model.pt
step 1010 | loss 2.9572 | step time 0.37ms
step 1020 | loss 2.9378 | step time 0.41ms
step 1030 | loss 2.9689 | step time 0.43ms
step 1040 | loss 2.9420 | step time 0.35ms
step 1050 | loss 2.9642 | step time 0.34ms
step 1060 | loss 2.9666 | step time 0.43ms
step 1070 | loss 2.9411 | step time 0.32ms
step 1080 | loss 2.9084 | step time 0.34ms
step 1090 | loss 2.9328 | step time 0.34ms
step 1100 | loss 2.9505 | step time 0.34ms
step 1110 | loss 2.9534 | step time 0.33ms
step 1120 | loss 2.9464 | step time 0.34ms
step 1130 | loss 2.9399 | step time 0.33ms
step 1140 | loss 2.9167 | step time 0.34ms
step 1150 | loss 2.9186 | step time 0.35ms
step 1160 | loss 2.9518 | step time 0.40ms
step 1170 | loss 2.9413 | step time 0.39ms
step 1180 | loss 2.9054 | step time 0.40ms
step 1190 | loss 2.9363 | step time 0.39ms
step 1200 | loss 2.9335 | step time 0.41ms
step 1210 | loss 2.9141 | step time 0.35ms
step 1220 | loss 2.8987 | step time 0.34ms
step 1230 | loss 2.9253 | step time 0.35ms
step 1240 | loss 2.9154 | step time 0.36ms
step 1250 | loss 2.8867 | step time 0.32ms
step 1260 | loss 2.9142 | step time 0.35ms
step 1270 | loss 2.9182 | step time 0.34ms
step 1280 | loss 2.9045 | step time 0.32ms
step 1290 | loss 2.9297 | step time 0.32ms
step 1300 | loss 2.8959 | step time 0.35ms
step 1310 | loss 2.8754 | step time 0.41ms
step 1320 | loss 2.8993 | step time 0.35ms
step 1330 | loss 2.8985 | step time 0.40ms
step 1340 | loss 2.8772 | step time 0.33ms
step 1350 | loss 2.8762 | step time 0.33ms
step 1360 | loss 2.8570 | step time 0.38ms
step 1370 | loss 2.8540 | step time 0.34ms
step 1380 | loss 2.8987 | step time 0.35ms
step 1390 | loss 2.8558 | step time 0.40ms
step 1400 | loss 2.8644 | step time 0.41ms
step 1410 | loss 2.8727 | step time 0.43ms
step 1420 | loss 2.8538 | step time 0.35ms
step 1430 | loss 2.8396 | step time 0.34ms
step 1440 | loss 2.8625 | step time 0.33ms
step 1450 | loss 2.8789 | step time 0.50ms
step 1460 | loss 2.8522 | step time 0.34ms
step 1470 | loss 2.8664 | step time 0.34ms
step 1480 | loss 2.8388 | step time 0.34ms
step 1490 | loss 2.8471 | step time 0.33ms
step 1500 | loss 2.8743 | step time 0.36ms
step 1500 train loss: 2.8480236530303955 test loss: 2.8419747352600098
test loss 2.8419747352600098 is the best so far, saving model to Bigram/model.pt
step 1510 | loss 2.8273 | step time 0.32ms
step 1520 | loss 2.8648 | step time 0.34ms
step 1530 | loss 2.8208 | step time 0.34ms
step 1540 | loss 2.8677 | step time 0.35ms
step 1550 | loss 2.8429 | step time 0.36ms
step 1560 | loss 2.8336 | step time 0.34ms
step 1570 | loss 2.8415 | step time 0.34ms
step 1580 | loss 2.8393 | step time 0.35ms
step 1590 | loss 2.8738 | step time 0.32ms
step 1600 | loss 2.8232 | step time 0.33ms
step 1610 | loss 2.8397 | step time 0.33ms
step 1620 | loss 2.8382 | step time 0.34ms
step 1630 | loss 2.8384 | step time 0.38ms
step 1640 | loss 2.8238 | step time 0.33ms
step 1650 | loss 2.7949 | step time 0.32ms
step 1660 | loss 2.7831 | step time 0.38ms
step 1670 | loss 2.7936 | step time 0.35ms
step 1680 | loss 2.7811 | step time 0.43ms
step 1690 | loss 2.8368 | step time 0.33ms
step 1700 | loss 2.7751 | step time 0.33ms
step 1710 | loss 2.8325 | step time 0.35ms
step 1720 | loss 2.7752 | step time 0.42ms
step 1730 | loss 2.8367 | step time 0.33ms
step 1740 | loss 2.7573 | step time 0.33ms
step 1750 | loss 2.7854 | step time 0.33ms
step 1760 | loss 2.8301 | step time 0.34ms
step 1770 | loss 2.7749 | step time 0.38ms
step 1780 | loss 2.7832 | step time 0.43ms
step 1790 | loss 2.8094 | step time 0.42ms
step 1800 | loss 2.7748 | step time 0.38ms
step 1810 | loss 2.7736 | step time 0.32ms
step 1820 | loss 2.7380 | step time 0.33ms
step 1830 | loss 2.8042 | step time 0.32ms
step 1840 | loss 2.7750 | step time 0.32ms
step 1850 | loss 2.7942 | step time 0.38ms
step 1860 | loss 2.7907 | step time 0.36ms
step 1870 | loss 2.7555 | step time 0.41ms
step 1880 | loss 2.7602 | step time 0.37ms
step 1890 | loss 2.7767 | step time 0.34ms
step 1900 | loss 2.7215 | step time 0.42ms
step 1910 | loss 2.7353 | step time 0.32ms
step 1920 | loss 2.7626 | step time 0.33ms
step 1930 | loss 2.7386 | step time 0.33ms
step 1940 | loss 2.7289 | step time 0.41ms
step 1950 | loss 2.7241 | step time 0.35ms
step 1960 | loss 2.7859 | step time 0.41ms
step 1970 | loss 2.7309 | step time 0.45ms
step 1980 | loss 2.7532 | step time 0.43ms
step 1990 | loss 2.7276 | step time 0.33ms
step 2000 | loss 2.8245 | step time 0.35ms
step 2000 train loss: 2.7535250186920166 test loss: 2.7442972660064697
test loss 2.7442972660064697 is the best so far, saving model to Bigram/model.pt
