step 0 | loss 3.3717 | step time 199.74ms
step 10 | loss 2.8274 | step time 2.33ms
step 20 | loss 2.7548 | step time 2.98ms
step 30 | loss 2.6743 | step time 3.07ms
step 40 | loss 2.6036 | step time 2.18ms
step 50 | loss 2.6321 | step time 2.56ms
step 60 | loss 2.6533 | step time 2.08ms
step 70 | loss 2.5176 | step time 2.43ms
step 80 | loss 2.5381 | step time 2.33ms
step 90 | loss 2.5540 | step time 2.40ms
step 100 | loss 2.6141 | step time 2.70ms
step 110 | loss 2.4120 | step time 2.50ms
step 120 | loss 2.5226 | step time 2.37ms
step 130 | loss 2.4290 | step time 3.94ms
step 140 | loss 2.4688 | step time 2.44ms
step 150 | loss 2.5537 | step time 2.15ms
step 160 | loss 2.4380 | step time 2.14ms
step 170 | loss 2.4772 | step time 2.42ms
step 180 | loss 2.3963 | step time 2.22ms
step 190 | loss 2.3125 | step time 2.62ms
step 200 | loss 2.3306 | step time 2.22ms
step 210 | loss 2.3612 | step time 2.89ms
step 220 | loss 2.2952 | step time 2.51ms
step 230 | loss 2.3687 | step time 2.08ms
step 240 | loss 2.4196 | step time 2.41ms
step 250 | loss 2.3998 | step time 2.22ms
step 260 | loss 2.2846 | step time 2.43ms
step 270 | loss 2.1791 | step time 2.41ms
step 280 | loss 2.2674 | step time 2.51ms
step 290 | loss 2.3623 | step time 2.09ms
step 300 | loss 2.3499 | step time 2.40ms
step 310 | loss 2.3457 | step time 2.04ms
step 320 | loss 2.3685 | step time 2.17ms
step 330 | loss 2.3553 | step time 2.23ms
step 340 | loss 2.3352 | step time 3.11ms
step 350 | loss 2.3018 | step time 2.52ms
step 360 | loss 2.1542 | step time 3.29ms
step 370 | loss 2.2984 | step time 2.78ms
step 380 | loss 2.2934 | step time 2.31ms
step 390 | loss 2.3059 | step time 2.15ms
step 400 | loss 2.2864 | step time 2.69ms
step 410 | loss 2.2454 | step time 2.60ms
step 420 | loss 2.2291 | step time 2.96ms
step 430 | loss 2.2763 | step time 2.21ms
step 440 | loss 2.2551 | step time 2.89ms
step 450 | loss 2.3254 | step time 2.08ms
step 460 | loss 2.3020 | step time 2.84ms
step 470 | loss 2.2330 | step time 2.32ms
step 480 | loss 2.4069 | step time 2.96ms
step 490 | loss 2.1685 | step time 2.30ms
step 500 | loss 2.3869 | step time 3.60ms
step 500 train loss: 2.2714312076568604 test loss: 2.254472017288208
test loss 2.254472017288208 is the best so far, saving model to MLP/model.pt
step 510 | loss 2.2935 | step time 2.20ms
step 520 | loss 2.2450 | step time 2.22ms
step 530 | loss 2.2985 | step time 3.22ms
step 540 | loss 2.3550 | step time 2.13ms
step 550 | loss 2.4472 | step time 2.70ms
step 560 | loss 2.1789 | step time 2.48ms
step 570 | loss 2.3287 | step time 3.60ms
step 580 | loss 2.2391 | step time 2.15ms
step 590 | loss 2.2933 | step time 2.84ms
step 600 | loss 2.3907 | step time 2.32ms
step 610 | loss 2.4249 | step time 2.34ms
step 620 | loss 2.1887 | step time 3.10ms
step 630 | loss 2.1749 | step time 2.10ms
step 640 | loss 2.1940 | step time 3.08ms
step 650 | loss 2.1764 | step time 2.13ms
step 660 | loss 2.2799 | step time 2.30ms
step 670 | loss 2.2285 | step time 2.32ms
step 680 | loss 2.1899 | step time 2.67ms
step 690 | loss 2.2965 | step time 2.35ms
step 700 | loss 2.2811 | step time 2.67ms
step 710 | loss 2.1953 | step time 2.29ms
step 720 | loss 2.2599 | step time 3.20ms
step 730 | loss 2.1240 | step time 2.11ms
step 740 | loss 2.2583 | step time 3.10ms
step 750 | loss 2.1865 | step time 2.00ms
step 760 | loss 2.2741 | step time 2.44ms
step 770 | loss 2.2510 | step time 2.15ms
step 780 | loss 2.1548 | step time 2.43ms
step 790 | loss 2.1491 | step time 2.10ms
step 800 | loss 2.2323 | step time 2.90ms
step 810 | loss 2.3261 | step time 3.26ms
step 820 | loss 2.2286 | step time 2.32ms
step 830 | loss 2.2908 | step time 2.95ms
step 840 | loss 2.1644 | step time 2.49ms
step 850 | loss 2.2858 | step time 2.35ms
step 860 | loss 2.2170 | step time 2.37ms
step 870 | loss 2.2526 | step time 2.55ms
step 880 | loss 2.3022 | step time 2.47ms
step 890 | loss 2.1603 | step time 2.19ms
step 900 | loss 2.1870 | step time 2.06ms
step 910 | loss 2.2003 | step time 2.68ms
step 920 | loss 2.3500 | step time 3.44ms
step 930 | loss 2.2478 | step time 2.45ms
step 940 | loss 2.2068 | step time 2.78ms
step 950 | loss 2.2936 | step time 2.34ms
step 960 | loss 2.2514 | step time 2.63ms
step 970 | loss 2.0564 | step time 2.29ms
step 980 | loss 2.0646 | step time 2.19ms
step 990 | loss 2.2364 | step time 3.01ms
step 1000 | loss 2.2232 | step time 2.38ms
step 1000 train loss: 2.211045265197754 test loss: 2.1941840648651123
test loss 2.1941840648651123 is the best so far, saving model to MLP/model.pt
step 1010 | loss 2.0767 | step time 2.31ms
step 1020 | loss 2.1824 | step time 2.90ms
step 1030 | loss 2.0654 | step time 2.92ms
step 1040 | loss 2.2161 | step time 3.00ms
step 1050 | loss 2.2448 | step time 2.54ms
step 1060 | loss 2.1939 | step time 2.52ms
step 1070 | loss 2.1845 | step time 2.51ms
step 1080 | loss 2.1276 | step time 2.35ms
step 1090 | loss 2.2624 | step time 3.49ms
step 1100 | loss 2.2220 | step time 2.32ms
step 1110 | loss 2.1664 | step time 2.43ms
step 1120 | loss 2.3479 | step time 2.57ms
step 1130 | loss 2.3207 | step time 2.39ms
step 1140 | loss 2.3063 | step time 2.77ms
step 1150 | loss 2.2413 | step time 2.20ms
step 1160 | loss 2.2018 | step time 3.29ms
step 1170 | loss 2.2153 | step time 2.79ms
step 1180 | loss 2.1765 | step time 2.50ms
step 1190 | loss 2.1251 | step time 2.74ms
step 1200 | loss 2.2124 | step time 2.59ms
step 1210 | loss 2.1023 | step time 2.95ms
step 1220 | loss 2.2057 | step time 2.21ms
step 1230 | loss 2.2852 | step time 2.75ms
step 1240 | loss 2.1214 | step time 2.25ms
step 1250 | loss 2.1838 | step time 3.13ms
step 1260 | loss 2.2101 | step time 2.79ms
step 1270 | loss 2.1428 | step time 2.23ms
step 1280 | loss 2.1909 | step time 2.76ms
step 1290 | loss 2.1371 | step time 2.17ms
step 1300 | loss 2.0936 | step time 3.38ms
step 1310 | loss 2.0976 | step time 2.12ms
step 1320 | loss 2.2179 | step time 2.61ms
step 1330 | loss 2.2274 | step time 3.78ms
step 1340 | loss 2.2907 | step time 2.23ms
step 1350 | loss 2.3340 | step time 3.14ms
step 1360 | loss 2.2136 | step time 2.43ms
step 1370 | loss 2.0748 | step time 2.46ms
step 1380 | loss 2.2344 | step time 2.55ms
step 1390 | loss 2.1985 | step time 2.04ms
step 1400 | loss 2.1241 | step time 3.37ms
step 1410 | loss 2.2478 | step time 3.36ms
step 1420 | loss 2.1482 | step time 2.45ms
step 1430 | loss 2.0611 | step time 2.58ms
step 1440 | loss 2.1467 | step time 2.92ms
step 1450 | loss 2.2661 | step time 2.31ms
step 1460 | loss 2.1560 | step time 2.19ms
step 1470 | loss 2.1578 | step time 2.17ms
step 1480 | loss 2.1493 | step time 2.99ms
step 1490 | loss 2.0786 | step time 2.17ms
step 1500 | loss 2.2534 | step time 2.69ms
step 1500 train loss: 2.1943037509918213 test loss: 2.170523166656494
test loss 2.170523166656494 is the best so far, saving model to MLP/model.pt
step 1510 | loss 2.1991 | step time 2.59ms
step 1520 | loss 2.0714 | step time 2.15ms
step 1530 | loss 2.2214 | step time 2.58ms
step 1540 | loss 2.3228 | step time 2.28ms
step 1550 | loss 2.2262 | step time 2.65ms
step 1560 | loss 2.1860 | step time 2.21ms
step 1570 | loss 2.1932 | step time 2.43ms
step 1580 | loss 2.1643 | step time 2.87ms
step 1590 | loss 2.1666 | step time 2.63ms
step 1600 | loss 2.2662 | step time 2.75ms
step 1610 | loss 2.2208 | step time 2.38ms
step 1620 | loss 2.2284 | step time 2.09ms
step 1630 | loss 2.0898 | step time 2.30ms
step 1640 | loss 1.9995 | step time 2.70ms
step 1650 | loss 2.3322 | step time 2.25ms
step 1660 | loss 2.0839 | step time 2.54ms
step 1670 | loss 2.1612 | step time 2.14ms
step 1680 | loss 2.1610 | step time 2.71ms
