step 0 | loss 3.4770 | step time 203.87ms
step 10 | loss 3.2264 | step time 11.37ms
step 20 | loss 3.0191 | step time 11.38ms
step 30 | loss 2.9153 | step time 11.17ms
step 40 | loss 2.9005 | step time 11.31ms
step 50 | loss 2.8060 | step time 11.14ms
step 60 | loss 2.7122 | step time 11.02ms
step 70 | loss 2.7240 | step time 11.09ms
step 80 | loss 2.7124 | step time 11.07ms
step 90 | loss 2.6355 | step time 11.49ms
step 100 | loss 2.6663 | step time 11.24ms
step 110 | loss 2.7144 | step time 11.37ms
step 120 | loss 2.5390 | step time 11.04ms
step 130 | loss 2.5545 | step time 11.18ms
step 140 | loss 2.5117 | step time 11.28ms
step 150 | loss 2.5571 | step time 11.10ms
step 160 | loss 2.4387 | step time 11.25ms
step 170 | loss 2.4641 | step time 11.31ms
step 180 | loss 2.5426 | step time 11.23ms
step 190 | loss 2.4814 | step time 11.42ms
step 200 | loss 2.4899 | step time 11.14ms
step 210 | loss 2.4978 | step time 11.05ms
step 220 | loss 2.5330 | step time 11.32ms
step 230 | loss 2.4949 | step time 11.44ms
step 240 | loss 2.4332 | step time 11.57ms
step 250 | loss 2.4807 | step time 11.45ms
step 260 | loss 2.3832 | step time 11.11ms
step 270 | loss 2.3525 | step time 11.20ms
step 280 | loss 2.4863 | step time 11.24ms
step 290 | loss 2.5078 | step time 11.29ms
step 300 | loss 2.4422 | step time 11.29ms
step 310 | loss 2.2845 | step time 11.38ms
step 320 | loss 2.4127 | step time 11.38ms
step 330 | loss 2.3213 | step time 11.18ms
step 340 | loss 2.4154 | step time 11.24ms
step 350 | loss 2.3119 | step time 11.25ms
step 360 | loss 2.3924 | step time 11.13ms
step 370 | loss 2.3666 | step time 11.24ms
step 380 | loss 2.3985 | step time 11.18ms
step 390 | loss 2.3355 | step time 11.26ms
step 400 | loss 2.3295 | step time 11.09ms
step 410 | loss 2.3543 | step time 11.22ms
step 420 | loss 2.3813 | step time 11.19ms
step 430 | loss 2.4540 | step time 11.06ms
step 440 | loss 2.4234 | step time 11.32ms
step 450 | loss 2.4141 | step time 11.18ms
step 460 | loss 2.3984 | step time 11.21ms
step 470 | loss 2.3508 | step time 11.19ms
step 480 | loss 2.3295 | step time 11.17ms
step 490 | loss 2.3924 | step time 11.11ms
step 500 | loss 2.4145 | step time 11.10ms
